"Time (s)","Illuminance (lx)"
0.000000000E0,6.679800415E2
1.278922080E-1,6.720300293E2
2.878972080E-1,9.069975586E2
4.478990830E-1,8.990325317E2
6.078916870E-1,9.250200195E2
7.678973640E-1,9.140175171E2
9.278958020E-1,1.024987549E3
1.087890646E0,1.201027588E3
1.247885958E0,1.199002563E3
1.407896687E0,1.149997559E3
1.567898146E0,1.185030029E3
1.727892781E0,1.262992554E3
1.887898927E0,8.220150146E2
2.047896791E0,9.130050659E2
2.207899239E0,1.034032593E3
2.367898927E0,9.919800415E2
2.527897625E0,9.300150146E2
2.687894031E0,6.500250244E2
2.847896271E0,2.789775085E2
3.007895698E0,1.030050049E2
3.167898823E0,2.710125122E2
3.327885437E0,7.429725342E2
3.487894187E0,1.014997559E3
3.647901739E0,1.028970093E3
3.807893510E0,9.269775391E2
3.967898666E0,4.830300293E2
4.127899135E0,1.530225067E2
4.287894552E0,6.601499939E1
4.447893979E0,1.730025024E2
4.607898562E0,4.839750061E2
4.767900698E0,8.309925537E2
4.927885906E0,9.900225220E2
5.087894500E0,1.008990051E3
5.247904396E0,9.379800415E2
5.407891687E0,5.699700317E2
5.567896791E0,2.739825134E2
5.727894529E0,7.202249908E1
5.887892081E0,7.101000214E1
6.047892758E0,2.670299988E2
6.207901664E0,5.250150146E2
6.367895675E0,9.209700317E2
6.527887966E0,1.026000000E3
6.687898175E0,1.007977539E3
6.847893748E0,6.610275269E2
7.007899112E0,2.739825134E2
7.167893643E0,1.869750061E2
7.327893800E0,2.060100098E2
7.487891039E0,2.689875183E2
7.647896873E0,6.930225220E2
7.807897862E0,1.035989990E3
7.967895206E0,1.067984985E3
8.127882810E0,1.001025024E3
8.287885414E0,4.799925232E2
8.447893227E0,5.899500275E1
8.607889998E0,7.897500610E1
8.767899581E0,2.359800110E2
8.927895727E0,5.030100098E2
9.087896248E0,9.190125122E2
9.247897966E0,1.024987549E3
9.407898279E0,1.000012512E3
9.567895154E0,6.249825439E2
9.727885414E0,2.589974976E2
9.887897341E0,8.201250458E1
1.004789802E1,6.601499939E1
1.020789026E1,2.830274963E2
1.036789531E1,6.490125122E2
1.052789729E1,9.489825439E2
1.068788818E1,9.659925537E2
1.084789656E1,9.020025635E2
1.100789672E1,5.100300293E2
1.116789489E1,1.539674988E2
1.132788468E1,4.679775085E2
1.148789870E1,2.689875183E2
1.164789536E1,4.130325012E2
1.180789468E1,6.750000000E2
1.196789958E1,9.580275269E2
1.212789682E1,9.790200195E2
1.228789443E1,9.310275269E2
1.244789661E1,5.950125122E2
1.260789875E1,2.760075073E2
1.276789349E1,1.399950104E2
1.292788880E1,1.470149994E2
1.308789614E1,2.510325165E2
1.324789609E1,5.119875183E2
1.340789146E1,8.939700317E2
1.356789541E1,9.740250244E2
1.372789739E1,9.109800415E2
1.388788948E1,5.400000000E2
1.404789474E1,2.569725037E2
1.420789718E1,2.199825134E2
1.436789260E1,1.580175018E2
1.452789401E1,4.409775085E2
1.468789344E1,7.109775391E2
1.484789531E1,8.799975586E2
1.500789250E1,8.390250244E2
1.516789661E1,6.149925537E2
1.532789245E1,2.349675140E2
1.548789104E1,2.859974976E2
1.564789719E1,2.340225067E2
1.580789328E1,2.529900055E2
1.596789625E1,6.120225220E2
1.612788599E1,8.750025635E2
1.628789401E1,8.820225220E2
1.644789802E1,8.500275269E2
1.660789260E1,5.109750061E2
1.676789521E1,2.309850159E2
1.692789557E1,3.310200195E2
1.708789312E1,3.379725037E2
1.724789609E1,2.209950104E2
1.740789698E1,4.689900208E2
1.756789573E1,8.309925537E2
1.772788661E1,8.689950562E2
1.788789562E1,8.590050049E2
1.804789708E1,5.929875488E2
1.820789703E1,2.340225067E2
1.836789500E1,1.860300140E2
1.852789422E1,1.190025024E2
1.868789208E1,2.550150146E2
1.884789776E1,5.850225220E2
1.900789646E1,8.710200195E2
1.916789442E1,8.799975586E2
1.932788463E1,6.750000000E2
1.948789646E1,4.170150146E2
1.964789828E1,1.100250015E2
1.980789260E1,3.640275269E2
1.996789453E1,8.802000427E1
2.012789568E1,4.459725037E2
2.028789104E1,8.199900513E2
2.044789375E1,8.829675293E2
2.060790833E1,8.669700317E2
2.076789052E1,5.840100098E2
2.092788364E1,2.739825134E2
2.108789453E1,8.010225220E2
2.124789620E1,1.050030029E3
2.140789156E1,1.077030029E3
2.156789281E1,1.083982544E3
2.188788870E1,1.082025024E3
2.204789349E1,1.082970093E3
2.220789594E1,1.082025024E3
2.236789224E1,1.075005005E3
2.252788359E1,1.086007568E3
2.268789708E1,1.167007568E3
2.284789906E1,1.367010010E3
2.300788922E1,1.157017578E3
2.316790031E1,8.459775391E2
2.332789672E1,8.270100098E2
2.348789104E1,9.219825439E2
2.364789432E1,8.980200195E2
2.380789385E1,4.830300293E2
2.396788948E1,2.689875183E2
2.412788562E1,3.690225220E2
2.428789739E1,4.309875183E2
2.444789599E1,2.789775085E2
